,year,month,R1,temp_mean,temp_max,temp_min,country_code
1995,2004,3,5003.0,16.5,23.549999999999997,8.1,JOR
1996,2004,4,2.0,19.3,29.075,11.975,JOR
1997,2004,5,1.5,23.375,31.1,14.25,JOR
1998,2004,6,0.0,26.6,34.55,17.675,JOR
1999,2004,7,0.0,29.299999999999997,37.325,21.225,JOR
2000,2004,8,0.0,28.025,35.775,20.25,JOR
2001,2004,9,0.0,26.625,34.7,18.525,JOR
2002,2004,10,0.0,23.55,30.575,16.5,JOR
2003,2004,11,2513.25,16.35,22.05,10.6,JOR
2004,2004,12,10.75,9.65,15.45,3.85,JOR
2005,2004,1,16.818181818181817,-8.4,,,KAZ
2006,2004,2,23.88235294117647,-4.427272727272727,,,KAZ
2007,2004,3,26.264705882352942,0.5411764705882354,,,KAZ
2008,2004,4,29.484848484848484,8.503125,,,KAZ
2009,2004,5,23.529411764705884,18.079411764705885,,,KAZ
2010,2004,6,606.1764705882352,22.764705882352942,,,KAZ
2011,2004,7,32.78787878787879,23.275757575757577,29.0,14.3,KAZ
2012,2004,8,17.03030303030303,22.220588235294116,25.4,12.1,KAZ
2013,2004,9,3244.676470588235,17.03529411764706,20.9,7.7,KAZ
2014,2004,10,24.823529411764707,8.01764705882353,10.7,1.2,KAZ
2015,2004,11,31.62857142857143,1.9514285714285713,1.7,-4.4,KAZ
2016,2004,12,33.11764705882353,-7.088235294117647,-9.2,-16.6,KAZ
2017,2004,1,51.333333333333336,22.733333333333334,27.666666666666668,16.900000000000002,KEN
2018,2004,2,25.333333333333332,23.666666666666668,29.766666666666666,16.466666666666665,KEN
2019,2004,9,41.333333333333336,21.1,26.299999999999997,18.066666666666666,KEN
2020,2004,10,117.0,23.96666666666667,29.666666666666668,19.099999999999998,KEN
2021,2004,1,9.571428571428571,-6.528571428571429,-1.0857142857142856,-11.814285714285715,PRK
2022,2004,2,45.285714285714285,-2.6,4.971428571428571,-7.542857142857143,PRK
2023,2004,3,11.857142857142858,2.042857142857143,7.885714285714286,-3.2285714285714286,PRK
2024,2004,4,50.42857142857143,10.342857142857143,16.75714285714286,4.628571428571428,PRK
2025,2004,5,89.42857142857143,15.085714285714285,20.8,10.200000000000001,PRK
2026,2004,6,84.0,20.957142857142856,26.47142857142857,16.5,PRK
2027,2004,7,338.42857142857144,22.25714285714286,26.785714285714285,19.17142857142857,PRK
2028,2004,8,176.42857142857142,22.814285714285713,28.285714285714285,18.7,PRK
2029,2004,9,207.0,18.533333333333335,24.733333333333334,13.566666666666668,PRK
2030,2004,10,19.0,7.8,16.3,1.0,PRK
2031,2004,11,365.0,-0.5,4.7,-4.4,PRK
2032,2004,12,31.571428571428573,-4.942857142857143,0.42857142857142866,-9.442857142857141,PRK
2033,2004,1,29.2,-5.9399999999999995,-1.05,-10.82,KGZ
2034,2004,2,1017.0,-3.12,2.31,-7.4,KGZ
2035,2004,3,56.5,1.8,7.110000000000001,-2.59,KGZ
2036,2004,4,41.44444444444444,8.222222222222221,13.7,2.6333333333333333,KGZ
