country_code,year,co2,co2_per_capita,population
SEN,2018,10180.0003051758,0.0006523908287217,15604143.800001875
SEN,2019,10619.9998855591,0.0006629159037708,16020131.400001703
SEN,2020,10619.9998855591,0.0006461379286410538,16436119.000001907
SEN,2021,11444.283161489622,0.0006791010425656806,16852106.600002408
SEN,2022,11829.006672582018,0.0006850209719483945,17268094.200002313
SEN,2023,12213.730183674414,0.0006906623890233665,17684081.800002575
SEN,2024,12598.453694766808,0.0006960444966451251,18100069.400002837
SEN,2025,12983.177205859203,0.0007011847719985478,18516057.00000298
SGP,1970,18210.322,0.0088321118462182,2061831.0000000093
SGP,1971,16593.175,0.0079176458047274,2095720.800000006
SGP,1972,22240.355,0.0104433904489393,2129610.6000000103
SGP,1973,21220.929,0.0098086087712301,2163500.400000017
SGP,1974,21968.997,0.0099977678065552,2197390.2000000104
SGP,1975,24543.231,0.0109996195009142,2231280.000000015
SGP,1976,30036.397,0.0132601083592055,2265169.8000000115
SGP,1977,28309.24,0.0123133997918105,2299059.6000000057
SGP,1978,33164.348,0.014215631080554,2332949.4000000134
SGP,1979,36123.617,0.0152623874913006,2366839.2000000053
SGP,1980,31433.524,0.0130933245693287,2400729.000000006
SGP,1981,26849.774,0.0109017924971486,2462877.0000000135
SGP,1982,29750.371,0.0117822084929852,2525025.0000000037
SGP,1983,34997.848,0.0135274479132242,2587173.0
SGP,1984,33402.703,0.0126080240937206,2649321.0000000037
SGP,1985,33417.371,0.0123244525384579,2711469.000000008
SGP,1986,35027.184,0.012628702520932,2773617.000000012
SGP,1987,32599.63,0.0114958855899554,2835765.000000011
SGP,1988,36105.282,0.0124590634708495,2897913.0000000093
SGP,1989,41888.141,0.0141511073589361,2960061.000000018
SGP,1990,28970.0,0.0095857037021595,3022209.000000025
SGP,1991,30470.0,0.0097493133805278,3125348.3000000194
SGP,1992,31410.0,0.0097290136719125,3228487.600000003
SGP,1993,36160.0,0.0108535562610567,3331626.9000000074
SGP,1994,37980.0,0.0110575211785885,3434766.200000005
SGP,1995,37580.0,0.0106221039538789,3537905.500000009
SGP,1996,38520.0,0.0105793809513137,3641044.8000000184
SGP,1997,38160.0,0.0101918065407093,3744184.1000000234
SGP,1998,37050.0,0.0096300716492925,3847323.4000000386
SGP,1999,37800.0,0.0095684994064113,3950462.700000002
SGP,2000,42120.0,0.0103907586388599,4053602.000000022
SGP,2001,42030.0,0.0100922037953793,4164600.800000033
SGP,2002,41290.0009155273,0.0096571252639108,4275599.600000041
SGP,2003,38159.9998474121,0.0086992234911251,4386598.400000038
SGP,2004,39619.9989318848,0.0088091479005467,4497597.2000000095
SGP,2005,36900.0015258789,0.0080067772323455,4608596.000000045
SGP,2006,37169.9981689453,0.0078756757188022,4719594.800000021
SGP,2007,38290.0009155273,0.0079265622584204,4830593.600000022
SGP,2008,38419.9981689453,0.0077748213650614,4941592.400000033
SGP,2009,38830.0018310547,0.0076851659463474,5052591.200000021
SGP,2010,42409.9998474121,0.0082132779417831,5163590.000000037
SGP,2011,44770.0004577637,0.0085099903251397,5260875.600000022
SGP,2012,43689.998626709,0.0081539164269094,5358161.2000000505
SGP,2013,43909.9998474121,0.0080488365952743,5455446.800000003
SGP,2014,44400.0015258789,0.0079960636183149,5552732.400000065
SGP,2015,45430.0003051758,0.0080406824022818,5650018.000000048
SGP,2016,46099.9984741211,0.0080848989610538,5701988.200000009
SGP,2017,49139.9993896484,0.0085402076229206,5753958.400000045
SGP,2018,47400.0015258789,0.0081640689701004,5805928.600000055
SGP,2019,47380.0010681152,0.0080882245811612,5857898.800000061
SGP,2020,47380.0010681152,0.008017098360067663,5909869.00000006
SGP,2021,49166.826874889004,0.008246922673608569,5961839.2000000775
SGP,2022,49814.82705923956,0.008283406364564679,6013809.4000000805
SGP,2023,50462.82724359011,0.008319264887828996,6065779.600000083
SGP,2024,51110.827427940654,0.008354514175774225,6117749.800000086
SGP,2025,51758.82761229121,0.008389169623952215,6169720.000000089
SLB,1970,40.337,0.0002333871425017,172833.0000000158
SLB,1971,47.671,0.0002664427260761,178916.50000002046
SLB,1972,55.005,0.0002973243243243,185000.00000001513
SLB,1973,66.006,0.0003454301391799,191083.50000005087
SLB,1974,66.006,0.000334772046032,197167.00000002587
SLB,1975,58.672,0.0002886684165598,203250.50000004284
SLB,1976,62.339,0.0002977968223031,209334.00000000963
SLB,1977,80.674,0.0003745006789142,215417.5000000009
SLB,1978,62.339,0.0002814389099823,221501.00000003757
SLB,1979,110.01,0.000483380898084,227584.50000000393
SLB,1980,102.676,0.0004394097608572,233668.00000004505
SLB,1981,135.679,0.0005589978176346,242718.30000003555
SLB,1982,121.011,0.0004806437339684,251768.60000000725
SLB,1983,143.013,0.000548322993464,260818.90000002246
SLB,1984,143.013,0.0005299345016029,269869.2000000503
SLB,1985,150.347,0.0005390336638349,278919.500000003
SLB,1986,154.014,0.0005348269158779,287969.8000000455
SLB,1987,161.348,0.0005432224957166,297020.10000001086
SLB,1988,157.681,0.0005151788608111,306070.4000000045
SLB,1989,161.348,0.0005120196800781,315120.70000002556
