country_code,year,value,co2_per_capita
KIR,2002,39.9999991059303,0.0004316866549024528
KIR,2003,39.9999991059303,0.0004229371410287132
KIR,2004,50.0000007450581,0.0005181690883650118
KIR,2005,70.0000002980232,0.0007113062152719801
KIR,2006,70.0000002980232,0.0006977156818378947
KIR,2007,59.9999986588955,0.0005868297661473109
KIR,2008,59.9999986588955,0.000576030217191195
KIR,2009,59.9999986588955,0.0005656209779294265
KIR,2010,50.0000007450581,0.0004629844043248123
KIR,2011,50.0000007450581,0.0004556331819877098
KIR,2012,59.9999986588955,0.00053821408595006
KIR,2013,59.9999986588955,0.0005299313973663778
KIR,2014,59.9999986588955,0.0005218997731379529
KIR,2015,59.9999986588955,0.0005141079683214846
KIR,2016,70.0000002980232,0.000589929733453088
KIR,2017,90.0000035762787,0.0007462105240244849
KIR,2018,90.0000035762787,0.0007343306378744776
KIR,2019,90.0000035762787,0.0007228230864566948
KNA,1970,25.669,0.0005708281444582815
KNA,1971,29.336,0.0006551007237460613
KNA,1972,29.336,0.0006578492974359663
KNA,1973,29.336,0.0006606210324117758
KNA,1974,36.67,0.0008292702783381125
KNA,1975,33.003,0.0007495145631067962
KNA,1976,36.67,0.0008363477126448841
KNA,1977,36.67,0.00083993192588809
KNA,1978,33.003,0.0007591922928283554
KNA,1979,36.67,0.0008471933111696906
KNA,1980,51.338,0.00119121980648305
KNA,1981,55.005,0.0012836369831205412
KNA,1982,66.006,0.0015492620549797205
KNA,1983,51.338,0.001211982426278427
KNA,1984,51.338,0.0012190650779101743
KNA,1985,51.338,0.0012262309961425005
KNA,1986,58.672,0.001409693323466377
KNA,1987,55.005,0.0013294484740527333
KNA,1988,66.006,0.0016048842400105039
KNA,1989,66.006,0.0016145452410712758
KNA,1990,110.0,0.0027069593463923615
KNA,1991,110.0,0.002675194863625862
KNA,1992,150.0,0.0036056825557077956
KNA,1993,140.0,0.0033267194981406014
KNA,1994,150.0,0.003523939294272424
